"","First","Second","p","weight"
"LDHxALB","LDH","ALB",0.6812,1536.66666666667
"LDHxTPRO","LDH","TPRO",0,3317.33333333333
"LDHxRBC","LDH","RBC",0.8481,1876.5
"LDHxLYM","LDH","LYM",0.1278,1887
"LDHxBUN","LDH","BUN",6e-04,2419.5
"LDHxCCRC","LDH","CCRC",0,3001.33333333333
"LDHxGLU","LDH","GLU",0.0148,2618
"LDHxSYSTOLICBP","LDH","SYSTOLICBP",0.6878,1020.5
"LDHxDIASTOLICBP","LDH","DIASTOLICBP",0.4854,2499.33333333333
"LDHxPULSE","LDH","PULSE",0,3030
"LDHxHEMAT","LDH","HEMAT",0.2805,832.833333333333
"LDHxSPEGRA","LDH","SPEGRA",0,3400.66666666667
"LDHxLYMperLEU","LDH","LYMperLEU",0.4387,1192.83333333333
"LDHxMONO","LDH","MONO",0.0388,2184.66666666667
"LDHxMONOperLEU","LDH","MONOperLEU",0.02,2535.66666666667
"LDHxNEUperLEU","LDH","NEUperLEU",0,3288.66666666667
"LDHxPOT","LDH","POT",2e-04,3239.66666666667
"LDHxBASOperLEU","LDH","BASOperLEU",0.9578,547.5
"LDHxEOS","LDH","EOS",0.3603,1756.83333333333
"LDHxEOSperLEU","LDH","EOSperLEU",0.7458,1033.83333333333
"LDHxAGEGRP2","LDH","AGEGRP2",0.4325,909.5
"NEUxNEU","NEU","NEU",0.6678,989.5
"NEUxPLT","NEU","PLT",0.6146,1066.5
"NEUxPSA","NEU","PSA",8e-04,2990.66666666667
"NEUxTBILI","NEU","TBILI",0.5791,965.5
"NEUxTESTO","NEU","TESTO",0.5671,1738.66666666667
"NEUxWBC","NEU","WBC",0.7357,863.5
"NEUxCREACL","NEU","CREACL",0.7462,1033.83333333333
"NEUxNA.","NEU","NA.",0.6473,1186.16666666667
"NEUxMG","NEU","MG",0.5991,1064.5
"NEUxPHOS","NEU","PHOS",0.3835,2027.66666666667
"NEUxALB","NEU","ALB",0.7094,1270.66666666667
"NEUxTPRO","NEU","TPRO",0.61,1624.33333333333
"NEUxRBC","NEU","RBC",0.6863,753.166666666667
"NEUxLYM","NEU","LYM",0.3518,1369.16666666667
"NEUxBUN","NEU","BUN",0.5363,1556.16666666667
"NEUxCCRC","NEU","CCRC",0.7219,899.833333333333
"NEUxGLU","NEU","GLU",0.7467,1012.83333333333
"NEUxSYSTOLICBP","NEU","SYSTOLICBP",0.74,778.166666666667
"NEUxDIASTOLICBP","NEU","DIASTOLICBP",0.8002,982.833333333333
"NEUxPULSE","NEU","PULSE",0.5401,502.833333333333
"NEUxHEMAT","NEU","HEMAT",0.4639,1056.16666666667
"NEUxSPEGRA","NEU","SPEGRA",0.5543,1196.5
"NEUxLYMperLEU","NEU","LYMperLEU",0.3307,1539.5
"NEUxMONO","NEU","MONO",0.5373,1126.16666666667
"NEUxMONOperLEU","NEU","MONOperLEU",0.1043,1501.83333333333
"NEUxNEUperLEU","NEU","NEUperLEU",0.5131,661.833333333333
"NEUxPOT","NEU","POT",0.4899,1356.33333333333
"NEUxBASOperLEU","NEU","BASOperLEU",0.9533,1013.5
"NEUxEOS","NEU","EOS",0.6114,1708.16666666667
"NEUxEOSperLEU","NEU","EOSperLEU",0.7828,1532.5
"NEUxAGEGRP2","NEU","AGEGRP2",0.4483,2295.66666666667
"PLTxPLT","PLT","PLT",0.5604,1212.16666666667
"PLTxPSA","PLT","PSA",0.0091,2361.33333333333
"PLTxTBILI","PLT","TBILI",0.6811,879.666666666667
"PLTxTESTO","PLT","TESTO",0.6354,1952.33333333333
"PLTxWBC","PLT","WBC",0.7379,1359.5
"PLTxCREACL","PLT","CREACL",0.7107,445.166666666667
"PLTxNA.","PLT","NA.",0.6648,445.166666666667
"PLTxMG","PLT","MG",0.6938,1252.83333333333
"PLTxPHOS","PLT","PHOS",0.2263,2507.33333333333
"PLTxALB","PLT","ALB",0.652,1969.66666666667
"PLTxTPRO","PLT","TPRO",0.6623,503.166666666667
"PLTxRBC","PLT","RBC",0.6199,1707.5
"PLTxLYM","PLT","LYM",0.15,2777
"PLTxBUN","PLT","BUN",0.6135,967.333333333333
"PLTxCCRC","PLT","CCRC",0.69,693.5
"PLTxGLU","PLT","GLU",0.6875,1078.66666666667
"PLTxSYSTOLICBP","PLT","SYSTOLICBP",0.7402,1129.16666666667
"PLTxDIASTOLICBP","PLT","DIASTOLICBP",0.7609,1350.83333333333
"PLTxPULSE","PLT","PULSE",0.5412,631.166666666667
"PLTxHEMAT","PLT","HEMAT",0.4406,2015.83333333333
"PLTxSPEGRA","PLT","SPEGRA",0.6055,445.166666666667
"PLTxLYMperLEU","PLT","LYMperLEU",0.3458,1496.66666666667
"PLTxMONO","PLT","MONO",0.6036,1341.16666666667
"PLTxMONOperLEU","PLT","MONOperLEU",0.389,1182.16666666667
"PLTxNEUperLEU","PLT","NEUperLEU",0.4254,1154.66666666667
"PLTxPOT","PLT","POT",0.592,597.833333333333
"PLTxBASOperLEU","PLT","BASOperLEU",0.9093,1129.16666666667
"PLTxEOS","PLT","EOS",0.7453,970.5
"PLTxEOSperLEU","PLT","EOSperLEU",0.8818,1137.83333333333
"PLTxAGEGRP2","PLT","AGEGRP2",0.3726,2610.33333333333
"PSAxPSA","PSA","PSA",0,2461.66666666667
"PSAxTBILI","PSA","TBILI",0.0015,2703.66666666667
"PSAxTESTO","PSA","TESTO",0.3983,1817.66666666667
"PSAxWBC","PSA","WBC",0.001,2696
"PSAxCREACL","PSA","CREACL",7e-04,2307.66666666667
"PSAxNA.","PSA","NA.",2e-04,2361.33333333333
"PSAxMG","PSA","MG",0.5953,1110.16666666667
"PSAxPHOS","PSA","PHOS",0.3049,1745.5
"PSAxALB","PSA","ALB",0.0125,2045.33333333333
"PSAxTPRO","PSA","TPRO",4e-04,2640.33333333333
"PSAxRBC","PSA","RBC",0.0098,2226.33333333333
"PSAxLYM","PSA","LYM",0.7421,1138.66666666667
"PSAxBUN","PSA","BUN",1e-04,2335.66666666667
"PSAxCCRC","PSA","CCRC",7e-04,2315.66666666667
"PSAxGLU","PSA","GLU",5e-04,2994.33333333333
"PSAxSYSTOLICBP","PSA","SYSTOLICBP",0.0113,2064.33333333333
"PSAxDIASTOLICBP","PSA","DIASTOLICBP",0.0045,2802
"PSAxPULSE","PSA","PULSE",1e-04,2780.33333333333
"PSAxHEMAT","PSA","HEMAT",0.0332,2131.33333333333
"PSAxSPEGRA","PSA","SPEGRA",1e-04,2384
"PSAxLYMperLEU","PSA","LYMperLEU",0.2194,2565.66666666667
"PSAxMONO","PSA","MONO",2e-04,1835.16666666667
"PSAxMONOperLEU","PSA","MONOperLEU",1e-04,2514.66666666667
"PSAxNEUperLEU","PSA","NEUperLEU",0,3040.33333333333
"PSAxPOT","PSA","POT",2e-04,2344
"PSAxBASOperLEU","PSA","BASOperLEU",0.2016,1977.66666666667
"PSAxEOS","PSA","EOS",0.0085,1679.16666666667
"PSAxEOSperLEU","PSA","EOSperLEU",0.0381,2388.66666666667
"PSAxAGEGRP2","PSA","AGEGRP2",0.0632,2530.66666666667
"TBILIxTBILI","TBILI","TBILI",0.6255,1136.33333333333
"TBILIxTESTO","TBILI","TESTO",0.651,782.833333333333
"TBILIxWBC","TBILI","WBC",0.7269,1165.83333333333
"TBILIxCREACL","TBILI","CREACL",0.5191,1102.83333333333
"TBILIxNA.","TBILI","NA.",0.6101,568.5
"TBILIxMG","TBILI","MG",0.5592,1728.5
"TBILIxPHOS","TBILI","PHOS",0.0463,2557.33333333333
"TBILIxALB","TBILI","ALB",0.183,1948.16666666667
"TBILIxTPRO","TBILI","TPRO",0.7098,1449
"TBILIxRBC","TBILI","RBC",0.1016,1690.83333333333
"TBILIxLYM","TBILI","LYM",0.0367,2725
"TBILIxBUN","TBILI","BUN",0.6955,1988
"TBILIxCCRC","TBILI","CCRC",0.553,1230.5
"TBILIxGLU","TBILI","GLU",0.7209,1007.33333333333
"TBILIxSYSTOLICBP","TBILI","SYSTOLICBP",0.1838,1988.83333333333
"TBILIxDIASTOLICBP","TBILI","DIASTOLICBP",0.2409,1921.16666666667
"TBILIxPULSE","TBILI","PULSE",0.766,1594
"TBILIxHEMAT","TBILI","HEMAT",0.04,1978.5
"TBILIxSPEGRA","TBILI","SPEGRA",0.6902,798.5
"TBILIxLYMperLEU","TBILI","LYMperLEU",0.0262,2905
"TBILIxMONO","TBILI","MONO",0.6992,1561.33333333333
"TBILIxMONOperLEU","TBILI","MONOperLEU",0.8119,859.5
"TBILIxNEUperLEU","TBILI","NEUperLEU",0.5357,1599
"TBILIxPOT","TBILI","POT",0.7266,1198.83333333333
"TBILIxBASOperLEU","TBILI","BASOperLEU",0.5077,1224.16666666667
"TBILIxEOS","TBILI","EOS",0.8915,784.833333333333
"TBILIxEOSperLEU","TBILI","EOSperLEU",0.7259,689.5
"TBILIxAGEGRP2","TBILI","AGEGRP2",0.6813,931.833333333333
"TESTOxTESTO","TESTO","TESTO",0.5821,1728.33333333333
"TESTOxWBC","TESTO","WBC",0.6494,898.166666666667
"TESTOxCREACL","TESTO","CREACL",0.666,730.5
"TESTOxNA.","TESTO","NA.",0.6604,1269
"TESTOxMG","TESTO","MG",0.7384,1640.33333333333
"TESTOxPHOS","TESTO","PHOS",0.0729,2325.33333333333
"TESTOxALB","TESTO","ALB",0.653,1132
"TESTOxTPRO","TESTO","TPRO",0.6608,1314.66666666667
"TESTOxRBC","TESTO","RBC",0.6628,1288.33333333333
"TESTOxLYM","TESTO","LYM",0.0775,2397.33333333333
"TESTOxBUN","TESTO","BUN",0.6593,1484.33333333333
"TESTOxCCRC","TESTO","CCRC",0.6679,445.166666666667
"TESTOxGLU","TESTO","GLU",0.6276,1724.33333333333
"TESTOxSYSTOLICBP","TESTO","SYSTOLICBP",0.663,1585.33333333333
"TESTOxDIASTOLICBP","TESTO","DIASTOLICBP",0.659,1901
"TESTOxPULSE","TESTO","PULSE",0.654,908.333333333333
"TESTOxHEMAT","TESTO","HEMAT",0.6564,1115.33333333333
"TESTOxSPEGRA","TESTO","SPEGRA",0.6597,1130.66666666667
"TESTOxLYMperLEU","TESTO","LYMperLEU",0.4854,1753.66666666667
"TESTOxMONO","TESTO","MONO",0.618,899.333333333333
"TESTOxMONOperLEU","TESTO","MONOperLEU",0.6557,445.166666666667
"TESTOxNEUperLEU","TESTO","NEUperLEU",0.5965,1658.33333333333
"TESTOxPOT","TESTO","POT",0.6567,1449
"TESTOxBASOperLEU","TESTO","BASOperLEU",0.6504,824.5
"TESTOxEOS","TESTO","EOS",0.6574,1346.33333333333
"TESTOxEOSperLEU","TESTO","EOSperLEU",0.6307,1300
"TESTOxAGEGRP2","TESTO","AGEGRP2",0.5132,2578.33333333333
"WBCxWBC","WBC","WBC",0.8107,665.5
"WBCxCREACL","WBC","CREACL",0.6277,1664.33333333333
"WBCxNA.","WBC","NA.",0.729,1538
"WBCxMG","WBC","MG",0.5435,1514
"WBCxPHOS","WBC","PHOS",0.2583,2169
"WBCxALB","WBC","ALB",0.0761,2804.66666666667
"WBCxTPRO","WBC","TPRO",0.7814,696.5
"WBCxRBC","WBC","RBC",0.0424,2383
"WBCxLYM","WBC","LYM",0.2179,1102.83333333333
"WBCxBUN","WBC","BUN",0.7976,1273.66666666667
"WBCxCCRC","WBC","CCRC",0.6581,1923.33333333333
"WBCxGLU","WBC","GLU",0.8215,1583.33333333333
"WBCxSYSTOLICBP","WBC","SYSTOLICBP",0.1129,2501.33333333333
"WBCxDIASTOLICBP","WBC","DIASTOLICBP",0.2374,1725
"WBCxPULSE","WBC","PULSE",0.8367,1676.66666666667
"WBCxHEMAT","WBC","HEMAT",0.0054,2820.33333333333
"WBCxSPEGRA","WBC","SPEGRA",0.8077,1547.66666666667
"WBCxLYMperLEU","WBC","LYMperLEU",0.0343,2313
"WBCxMONO","WBC","MONO",0.7088,951.833333333333
"WBCxMONOperLEU","WBC","MONOperLEU",0.7429,1509
"WBCxNEUperLEU","WBC","NEUperLEU",0.6779,875.333333333333
"WBCxPOT","WBC","POT",0.786,1596.66666666667
"WBCxBASOperLEU","WBC","BASOperLEU",0.6328,1509.66666666667
"WBCxEOS","WBC","EOS",0.8582,1341.83333333333
"WBCxEOSperLEU","WBC","EOSperLEU",0.9481,574.833333333333
"WBCxAGEGRP2","WBC","AGEGRP2",0.5926,1310
"CREACLxCREACL","CREACL","CREACL",0.0618,2085
"CREACLxNA.","CREACL","NA.",0.0043,2781.66666666667
"CREACLxMG","CREACL","MG",0.5394,1305
"CREACLxPHOS","CREACL","PHOS",0.1025,2385.66666666667
"CREACLxALB","CREACL","ALB",0,3351
"CREACLxTPRO","CREACL","TPRO",0.2463,1607.5
"CREACLxRBC","CREACL","RBC",0,3286.66666666667
"CREACLxLYM","CREACL","LYM",0.059,2073
"CREACLxBUN","CREACL","BUN",0.5119,2639.33333333333
"CREACLxCCRC","CREACL","CCRC",0.1265,1966.33333333333
"CREACLxGLU","CREACL","GLU",0.6578,1728.33333333333
"CREACLxSYSTOLICBP","CREACL","SYSTOLICBP",1e-04,3290.66666666667
"CREACLxDIASTOLICBP","CREACL","DIASTOLICBP",0.0039,2930
"CREACLxPULSE","CREACL","PULSE",0.8382,1530.5
"CREACLxHEMAT","CREACL","HEMAT",0,3365
"CREACLxSPEGRA","CREACL","SPEGRA",0.0392,2177.66666666667
"CREACLxLYMperLEU","CREACL","LYMperLEU",0.0055,2772.33333333333
"CREACLxMONO","CREACL","MONO",0.7816,674.166666666667
"CREACLxMONOperLEU","CREACL","MONOperLEU",0.8465,917.833333333333
"CREACLxNEUperLEU","CREACL","NEUperLEU",0.5733,672.833333333333
"CREACLxPOT","CREACL","POT",0.5634,2107.66666666667
"CREACLxBASOperLEU","CREACL","BASOperLEU",0.5172,973.833333333333
"CREACLxEOS","CREACL","EOS",0.9232,1264.16666666667
"CREACLxEOSperLEU","CREACL","EOSperLEU",0.8533,445.166666666667
"CREACLxAGEGRP2","CREACL","AGEGRP2",0.6815,1281.66666666667
"NA.xNA.","NA.","NA.",0.0258,3070.66666666667
"NA.xMG","NA.","MG",0.5758,837.5
"NA.xPHOS","NA.","PHOS",0.1105,2080
"NA.xALB","NA.","ALB",0,3347.33333333333
"NA.xTPRO","NA.","TPRO",0.4036,948.166666666667
"NA.xRBC","NA.","RBC",0,3258
"NA.xLYM","NA.","LYM",0.0692,2022.33333333333
"NA.xBUN","NA.","BUN",0.7408,1779.66666666667
"NA.xCCRC","NA.","CCRC",0.0351,2290
"NA.xGLU","NA.","GLU",0.7302,1865.66666666667
"NA.xSYSTOLICBP","NA.","SYSTOLICBP",2e-04,3225.66666666667
"NA.xDIASTOLICBP","NA.","DIASTOLICBP",0.005,2840
"NA.xPULSE","NA.","PULSE",0.8901,972.166666666667
"NA.xHEMAT","NA.","HEMAT",0,3375.33333333333
"NA.xSPEGRA","NA.","SPEGRA",0.0153,2810.66666666667
"NA.xLYMperLEU","NA.","LYMperLEU",0.0082,2659
"NA.xMONO","NA.","MONO",0.6805,854.5
"NA.xMONOperLEU","NA.","MONOperLEU",0.7902,1312.83333333333
"NA.xNEUperLEU","NA.","NEUperLEU",0.3046,1410.16666666667
"NA.xPOT","NA.","POT",0.6715,1710.66666666667
"NA.xBASOperLEU","NA.","BASOperLEU",0.5967,912.5
"NA.xEOS","NA.","EOS",0.9045,1273.16666666667
"NA.xEOSperLEU","NA.","EOSperLEU",0.8809,445.166666666667
"NA.xAGEGRP2","NA.","AGEGRP2",0.6735,498.833333333333
"MGxMG","MG","MG",0.4295,3175
"MGxPHOS","MG","PHOS",0.5971,2710.33333333333
"MGxALB","MG","ALB",0.4861,1453.66666666667
"MGxTPRO","MG","TPRO",0.5651,1153.33333333333
"MGxRBC","MG","RBC",0.4643,1331.83333333333
"MGxLYM","MG","LYM",0.7768,1902.83333333333
"MGxBUN","MG","BUN",0.629,1523
"MGxCCRC","MG","CCRC",0.5382,1494.66666666667
"MGxGLU","MG","GLU",0.5973,1497.5
"MGxSYSTOLICBP","MG","SYSTOLICBP",0.5011,1318.16666666667
"MGxDIASTOLICBP","MG","DIASTOLICBP",0.4868,1442.66666666667
"MGxPULSE","MG","PULSE",0.6377,727.833333333333
"MGxHEMAT","MG","HEMAT",0.4082,1568
"MGxSPEGRA","MG","SPEGRA",0.5913,835.833333333333
"MGxLYMperLEU","MG","LYMperLEU",0.5657,724.166666666667
"MGxMONO","MG","MONO",0.7376,1650.5
"MGxMONOperLEU","MG","MONOperLEU",0.7203,1771.16666666667
"MGxNEUperLEU","MG","NEUperLEU",0.6184,994.5
"MGxPOT","MG","POT",0.6369,579.833333333333
"MGxBASOperLEU","MG","BASOperLEU",0.7656,1734.83333333333
"MGxEOS","MG","EOS",0.8109,1890.83333333333
"MGxEOSperLEU","MG","EOSperLEU",0.7802,1604.83333333333
"MGxAGEGRP2","MG","AGEGRP2",0.7225,1867.33333333333
"PHOSxPHOS","PHOS","PHOS",0.5359,2993.66666666667
"PHOSxALB","PHOS","ALB",0.0969,2176
"PHOSxTPRO","PHOS","TPRO",0.1486,2210
"PHOSxRBC","PHOS","RBC",0.1031,2629
"PHOSxLYM","PHOS","LYM",0.4348,2164.33333333333
"PHOSxBUN","PHOS","BUN",0.148,2143
"PHOSxCCRC","PHOS","CCRC",0.0945,2197.66666666667
"PHOSxGLU","PHOS","GLU",0.2782,1719.66666666667
"PHOSxSYSTOLICBP","PHOS","SYSTOLICBP",0.1071,2738.33333333333
"PHOSxDIASTOLICBP","PHOS","DIASTOLICBP",0.1076,2146
"PHOSxPULSE","PHOS","PULSE",0.1663,2564
"PHOSxHEMAT","PHOS","HEMAT",0.0946,2599
"PHOSxSPEGRA","PHOS","SPEGRA",0.1206,1996.66666666667
"PHOSxLYMperLEU","PHOS","LYMperLEU",0.0596,2154.33333333333
"PHOSxMONO","PHOS","MONO",0.3079,1856.66666666667
"PHOSxMONOperLEU","PHOS","MONOperLEU",0.0671,2684.33333333333
"PHOSxNEUperLEU","PHOS","NEUperLEU",0.1951,2265
"PHOSxPOT","PHOS","POT",0.0916,2099.33333333333
"PHOSxBASOperLEU","PHOS","BASOperLEU",0.0425,2668.33333333333
"PHOSxEOS","PHOS","EOS",0.1455,1650.83333333333
"PHOSxEOSperLEU","PHOS","EOSperLEU",0.0408,1907.5
"PHOSxAGEGRP2","PHOS","AGEGRP2",0.3967,1764.66666666667
"ALBxALB","ALB","ALB",5e-04,3264.33333333333
"ALBxTPRO","ALB","TPRO",0.0148,2343.16666666667
"ALBxRBC","ALB","RBC",0,3346
"ALBxLYM","ALB","LYM",0.0741,2180.66666666667
"ALBxBUN","ALB","BUN",0.0493,3056.33333333333
"ALBxCCRC","ALB","CCRC",0,3341.66666666667
"ALBxGLU","ALB","GLU",0.0839,2994.33333333333
"ALBxSYSTOLICBP","ALB","SYSTOLICBP",0,3379.33333333333
"ALBxDIASTOLICBP","ALB","DIASTOLICBP",0,3283.33333333333
"ALBxPULSE","ALB","PULSE",0.0436,2741.33333333333
"ALBxHEMAT","ALB","HEMAT",0,3377.33333333333
"ALBxSPEGRA","ALB","SPEGRA",4e-04,3315.66666666667
"ALBxLYMperLEU","ALB","LYMperLEU",7e-04,2837
"ALBxMONO","ALB","MONO",0.8359,1105.16666666667
"ALBxMONOperLEU","ALB","MONOperLEU",0.6993,565.5
"ALBxNEUperLEU","ALB","NEUperLEU",0.5035,1906
"ALBxPOT","ALB","POT",0.0353,3117.66666666667
"ALBxBASOperLEU","ALB","BASOperLEU",0.2003,1464.16666666667
"ALBxEOS","ALB","EOS",0.9676,877.5
"ALBxEOSperLEU","ALB","EOSperLEU",0.6676,445.166666666667
"ALBxAGEGRP2","ALB","AGEGRP2",0.7625,1426.66666666667
"TPROxTPRO","TPRO","TPRO",0.7036,2316
"TPROxRBC","TPRO","RBC",6e-04,2287.83333333333
"TPROxLYM","TPRO","LYM",0.0801,1994
"TPROxBUN","TPRO","BUN",0.7693,1157.5
"TPROxCCRC","TPRO","CCRC",0.3627,1965.66666666667
"TPROxGLU","TPRO","GLU",0.7449,1002.16666666667
"TPROxSYSTOLICBP","TPRO","SYSTOLICBP",0.0092,2317.16666666667
"TPROxDIASTOLICBP","TPRO","DIASTOLICBP",0.0611,2638.33333333333
"TPROxPULSE","TPRO","PULSE",0.7779,1763
"TPROxHEMAT","TPRO","HEMAT",0,2954.66666666667
"TPROxSPEGRA","TPRO","SPEGRA",0.6657,2198.66666666667
"TPROxLYMperLEU","TPRO","LYMperLEU",0.0176,2410
"TPROxMONO","TPRO","MONO",0.6617,1607.66666666667
"TPROxMONOperLEU","TPRO","MONOperLEU",0.7528,1113.16666666667
"TPROxNEUperLEU","TPRO","NEUperLEU",0.3132,2026.33333333333
"TPROxPOT","TPRO","POT",0.7081,821.166666666667
"TPROxBASOperLEU","TPRO","BASOperLEU",0.6336,991.166666666667
"TPROxEOS","TPRO","EOS",0.8826,1456.16666666667
"TPROxEOSperLEU","TPRO","EOSperLEU",0.9064,714.5
"TPROxAGEGRP2","TPRO","AGEGRP2",0.6711,735.166666666667
"RBCxRBC","RBC","RBC",0,3159.33333333333
"RBCxLYM","RBC","LYM",0.0597,2455.66666666667
"RBCxBUN","RBC","BUN",0.0065,2586.66666666667
"RBCxCCRC","RBC","CCRC",0,3275.33333333333
"RBCxGLU","RBC","GLU",0.0389,2130.66666666667
"RBCxSYSTOLICBP","RBC","SYSTOLICBP",0,3375
"RBCxDIASTOLICBP","RBC","DIASTOLICBP",0,3243.33333333333
"RBCxPULSE","RBC","PULSE",0.0041,1780.16666666667
"RBCxHEMAT","RBC","HEMAT",0,3310
"RBCxSPEGRA","RBC","SPEGRA",0,3235.33333333333
"RBCxLYMperLEU","RBC","LYMperLEU",2e-04,2316.33333333333
"RBCxMONO","RBC","MONO",0.7971,855.833333333333
"RBCxMONOperLEU","RBC","MONOperLEU",0.5149,655.166666666667
"RBCxNEUperLEU","RBC","NEUperLEU",0.3412,1327.83333333333
"RBCxPOT","RBC","POT",0.0035,2800
"RBCxBASOperLEU","RBC","BASOperLEU",0.1088,1467.5
"RBCxEOS","RBC","EOS",0.9672,1378.5
"RBCxEOSperLEU","RBC","EOSperLEU",0.5637,724.5
"RBCxAGEGRP2","RBC","AGEGRP2",0.7613,1103.16666666667
"LYMxLYM","LYM","LYM",0.7581,2561
"LYMxBUN","LYM","BUN",0.0965,1910.33333333333
"LYMxCCRC","LYM","CCRC",0.0593,2085.33333333333
"LYMxGLU","LYM","GLU",0.1515,1875.33333333333
"LYMxSYSTOLICBP","LYM","SYSTOLICBP",0.0545,2570
"LYMxDIASTOLICBP","LYM","DIASTOLICBP",0.0572,2322.66666666667
"LYMxPULSE","LYM","PULSE",0.1064,1948.66666666667
"LYMxHEMAT","LYM","HEMAT",0.0506,2393.33333333333
"LYMxSPEGRA","LYM","SPEGRA",0.0711,2022.33333333333
"LYMxLYMperLEU","LYM","LYMperLEU",0.0558,1663.33333333333
"LYMxMONO","LYM","MONO",0.1856,1895
"LYMxMONOperLEU","LYM","MONOperLEU",0.0104,3104.66666666667
"LYMxNEUperLEU","LYM","NEUperLEU",0.1331,2010.33333333333
"LYMxPOT","LYM","POT",0.0796,1994.66666666667
"LYMxBASOperLEU","LYM","BASOperLEU",0.0339,2656
"LYMxEOS","LYM","EOS",0.326,1289.33333333333
"LYMxEOSperLEU","LYM","EOSperLEU",0.0238,2926
"LYMxAGEGRP2","LYM","AGEGRP2",0.575,1140.83333333333
"BUNxBUN","BUN","BUN",0.7078,1413
"BUNxCCRC","BUN","CCRC",0.546,2906
"BUNxGLU","BUN","GLU",0.7802,1203.66666666667
"BUNxSYSTOLICBP","BUN","SYSTOLICBP",0.0788,2917.33333333333
"BUNxDIASTOLICBP","BUN","DIASTOLICBP",0.1735,2018.33333333333
"BUNxPULSE","BUN","PULSE",0.7088,845.833333333333
"BUNxHEMAT","BUN","HEMAT",2e-04,3264.33333333333
"BUNxSPEGRA","BUN","SPEGRA",0.7805,1299
"BUNxLYMperLEU","BUN","LYMperLEU",0.0212,2920
"BUNxMONO","BUN","MONO",0.4789,1065.5
"BUNxMONOperLEU","BUN","MONOperLEU",0.6243,1311.5
"BUNxNEUperLEU","BUN","NEUperLEU",0.3327,1371.16666666667
"BUNxPOT","BUN","POT",0.6941,1598.66666666667
"BUNxBASOperLEU","BUN","BASOperLEU",0.6472,1355.16666666667
"BUNxEOS","BUN","EOS",0.864,1308.83333333333
"BUNxEOSperLEU","BUN","EOSperLEU",0.9069,505.833333333333
"BUNxAGEGRP2","BUN","AGEGRP2",0.5842,1553.66666666667
"CCRCxCCRC","CCRC","CCRC",0.246,2134.66666666667
"CCRCxGLU","CCRC","GLU",0.6767,1640
"CCRCxSYSTOLICBP","CCRC","SYSTOLICBP",5e-04,3278.33333333333
"CCRCxDIASTOLICBP","CCRC","DIASTOLICBP",0.0078,2747.66666666667
"CCRCxPULSE","CCRC","PULSE",0.8588,1783.5
"CCRCxHEMAT","CCRC","HEMAT",0,3357.33333333333
"CCRCxSPEGRA","CCRC","SPEGRA",0.1773,2656
"CCRCxLYMperLEU","CCRC","LYMperLEU",0.0081,2851.33333333333
"CCRCxMONO","CCRC","MONO",0.7705,623.5
"CCRCxMONOperLEU","CCRC","MONOperLEU",0.8352,902.5
"CCRCxNEUperLEU","CCRC","NEUperLEU",0.5133,724.5
"CCRCxPOT","CCRC","POT",0.6214,2438
"CCRCxBASOperLEU","CCRC","BASOperLEU",0.5562,950.5
"CCRCxEOS","CCRC","EOS",0.9101,1276.16666666667
"CCRCxEOSperLEU","CCRC","EOSperLEU",0.864,445.166666666667
"CCRCxAGEGRP2","CCRC","AGEGRP2",0.6851,1166.66666666667
"GLUxGLU","GLU","GLU",0.7716,1439
"GLUxSYSTOLICBP","GLU","SYSTOLICBP",0.1865,2016
"GLUxDIASTOLICBP","GLU","DIASTOLICBP",0.2877,1704.16666666667
"GLUxPULSE","GLU","PULSE",0.7686,1626.5
"GLUxHEMAT","GLU","HEMAT",0.0049,3135
"GLUxSPEGRA","GLU","SPEGRA",0.7566,747.166666666667
"GLUxLYMperLEU","GLU","LYMperLEU",0.0898,2230.33333333333
"GLUxMONO","GLU","MONO",0.5222,957.5
"GLUxMONOperLEU","GLU","MONOperLEU",0.4472,1698.66666666667
"GLUxNEUperLEU","GLU","NEUperLEU",0.5758,539.833333333333
"GLUxPOT","GLU","POT",0.6583,821.666666666667
"GLUxBASOperLEU","GLU","BASOperLEU",0.8424,1036.83333333333
"GLUxEOS","GLU","EOS",0.7848,1457.5
"GLUxEOSperLEU","GLU","EOSperLEU",0.9098,854.833333333333
"GLUxAGEGRP2","GLU","AGEGRP2",0.5669,1944.33333333333
"SYSTOLICBPxSYSTOLICBP","SYSTOLICBP","SYSTOLICBP",0.0011,3141
"SYSTOLICBPxDIASTOLICBP","SYSTOLICBP","DIASTOLICBP",0.001,3093
"SYSTOLICBPxPULSE","SYSTOLICBP","PULSE",0.0988,2415.33333333333
"SYSTOLICBPxHEMAT","SYSTOLICBP","HEMAT",0,3400.33333333333
"SYSTOLICBPxSPEGRA","SYSTOLICBP","SPEGRA",0.0013,3206
"SYSTOLICBPxLYMperLEU","SYSTOLICBP","LYMperLEU",6e-04,2888.66666666667
"SYSTOLICBPxMONO","SYSTOLICBP","MONO",0.8441,799.833333333333
"SYSTOLICBPxMONOperLEU","SYSTOLICBP","MONOperLEU",0.7057,697.166666666667
"SYSTOLICBPxNEUperLEU","SYSTOLICBP","NEUperLEU",0.6324,1237.83333333333
"SYSTOLICBPxPOT","SYSTOLICBP","POT",0.0429,3021.33333333333
"SYSTOLICBPxBASOperLEU","SYSTOLICBP","BASOperLEU",0.168,1393
"SYSTOLICBPxEOS","SYSTOLICBP","EOS",0.9617,649.166666666667
